id,name,type_1,type_2,height,weight,category,abilities,habitat,color,is_legendary,is_mythical,evolution_chain
44,gloom,Grass,Poison,8,86,gloom,"['chlorophyll', 'stench']",grassland,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/18/
45,vileplume,Grass,Poison,12,186,vileplume,"['chlorophyll', 'effect-spore']",grassland,red,False,False,https://pokeapi.co/api/v2/evolution-chain/18/
46,paras,Bug,Grass,3,54,paras,"['effect-spore', 'dry-skin', 'damp']",forest,red,False,False,https://pokeapi.co/api/v2/evolution-chain/19/
47,parasect,Bug,Grass,10,295,parasect,"['effect-spore', 'dry-skin', 'damp']",forest,red,False,False,https://pokeapi.co/api/v2/evolution-chain/19/
48,venonat,Bug,Poison,10,300,venonat,"['compound-eyes', 'tinted-lens', 'run-away']",forest,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/20/
49,venomoth,Bug,Poison,15,125,venomoth,"['shield-dust', 'tinted-lens', 'wonder-skin']",forest,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/20/
50,diglett,Ground,,2,8,diglett,"['sand-veil', 'arena-trap', 'sand-force']",cave,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/21/
51,dugtrio,Ground,,7,333,dugtrio,"['sand-veil', 'arena-trap', 'sand-force']",cave,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/21/
52,meowth,Normal,,4,42,meowth,"['pickup', 'technician', 'unnerve']",urban,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/22/
53,persian,Normal,,10,320,persian,"['limber', 'technician', 'unnerve']",urban,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/22/
54,psyduck,Water,,8,196,psyduck,"['damp', 'cloud-nine', 'swift-swim']",waters-edge,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/23/
55,golduck,Water,,17,766,golduck,"['damp', 'cloud-nine', 'swift-swim']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/23/
56,mankey,Fighting,,5,280,mankey,"['vital-spirit', 'anger-point', 'defiant']",mountain,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/24/
57,primeape,Fighting,,10,320,primeape,"['vital-spirit', 'anger-point', 'defiant']",mountain,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/24/
58,growlithe,Fire,,7,190,growlithe,"['intimidate', 'flash-fire', 'justified']",grassland,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/25/
59,arcanine,Fire,,19,1550,arcanine,"['intimidate', 'flash-fire', 'justified']",grassland,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/25/
60,poliwag,Water,,6,124,poliwag,"['water-absorb', 'damp', 'swift-swim']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/26/
61,poliwhirl,Water,,10,200,poliwhirl,"['water-absorb', 'damp', 'swift-swim']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/26/
62,poliwrath,Water,Fighting,13,540,poliwrath,"['water-absorb', 'damp', 'swift-swim']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/26/
63,abra,Psychic,,9,195,abra,"['synchronize', 'inner-focus', 'magic-guard']",urban,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/27/
64,kadabra,Psychic,,13,565,kadabra,"['synchronize', 'inner-focus', 'magic-guard']",urban,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/27/
65,alakazam,Psychic,,15,480,alakazam,"['synchronize', 'inner-focus', 'magic-guard']",urban,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/27/
66,machop,Fighting,,8,195,machop,"['guts', 'no-guard', 'steadfast']",mountain,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/28/
67,machoke,Fighting,,15,705,machoke,"['guts', 'no-guard', 'steadfast']",mountain,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/28/
68,machamp,Fighting,,16,1300,machamp,"['guts', 'no-guard', 'steadfast']",mountain,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/28/
69,bellsprout,Grass,Poison,7,40,bellsprout,"['chlorophyll', 'gluttony']",forest,green,False,False,https://pokeapi.co/api/v2/evolution-chain/29/
70,weepinbell,Grass,Poison,10,64,weepinbell,"['chlorophyll', 'gluttony']",forest,green,False,False,https://pokeapi.co/api/v2/evolution-chain/29/
71,victreebel,Grass,Poison,17,155,victreebel,"['chlorophyll', 'gluttony']",forest,green,False,False,https://pokeapi.co/api/v2/evolution-chain/29/
72,tentacool,Water,Poison,9,455,tentacool,"['clear-body', 'liquid-ooze', 'rain-dish']",sea,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/30/
73,tentacruel,Water,Poison,16,550,tentacruel,"['clear-body', 'liquid-ooze', 'rain-dish']",sea,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/30/
74,geodude,Rock,Ground,4,200,geodude,"['rock-head', 'sturdy', 'sand-veil']",mountain,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/31/
75,graveler,Rock,Ground,10,1050,graveler,"['rock-head', 'sturdy', 'sand-veil']",mountain,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/31/
76,golem,Rock,Ground,14,3000,golem,"['rock-head', 'sturdy', 'sand-veil']",mountain,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/31/
77,ponyta,Fire,,10,300,ponyta,"['run-away', 'flash-fire', 'flame-body']",grassland,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/32/
78,rapidash,Fire,,17,950,rapidash,"['run-away', 'flash-fire', 'flame-body']",grassland,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/32/
79,slowpoke,Water,Psychic,12,360,slowpoke,"['oblivious', 'own-tempo', 'regenerator']",waters-edge,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/33/
80,slowbro,Water,Psychic,16,785,slowbro,"['oblivious', 'own-tempo', 'regenerator']",waters-edge,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/33/
81,magnemite,Electric,Steel,3,60,magnemite,"['magnet-pull', 'sturdy', 'analytic']",rough-terrain,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/34/
82,magneton,Electric,Steel,10,600,magneton,"['magnet-pull', 'sturdy', 'analytic']",rough-terrain,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/34/
83,farfetchd,Normal,Flying,8,150,farfetchd,"['keen-eye', 'inner-focus', 'defiant']",grassland,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/35/
84,doduo,Normal,Flying,14,392,doduo,"['run-away', 'early-bird', 'tangled-feet']",grassland,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/36/
85,dodrio,Normal,Flying,18,852,dodrio,"['run-away', 'early-bird', 'tangled-feet']",grassland,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/36/
86,seel,Water,,11,900,seel,"['thick-fat', 'hydration', 'ice-body']",sea,white,False,False,https://pokeapi.co/api/v2/evolution-chain/37/
87,dewgong,Water,Ice,17,1200,dewgong,"['thick-fat', 'hydration', 'ice-body']",sea,white,False,False,https://pokeapi.co/api/v2/evolution-chain/37/
88,grimer,Poison,,9,300,grimer,"['stench', 'sticky-hold', 'poison-touch']",urban,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/38/
89,muk,Poison,,12,300,muk,"['stench', 'sticky-hold', 'poison-touch']",urban,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/38/
90,shellder,Water,,3,40,shellder,"['shell-armor', 'skill-link', 'overcoat']",sea,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/39/
91,cloyster,Water,Ice,15,1325,cloyster,"['shell-armor', 'skill-link', 'overcoat']",sea,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/39/
92,gastly,Ghost,Poison,13,1,gastly,['levitate'],cave,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/40/
93,haunter,Ghost,Poison,16,1,haunter,['levitate'],cave,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/40/
94,gengar,Ghost,Poison,15,405,gengar,['cursed-body'],cave,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/40/
95,onix,Rock,Ground,88,2100,onix,"['rock-head', 'sturdy', 'weak-armor']",cave,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/41/
96,drowzee,Psychic,,10,324,drowzee,"['insomnia', 'forewarn', 'inner-focus']",grassland,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/42/
97,hypno,Psychic,,16,756,hypno,"['insomnia', 'forewarn', 'inner-focus']",grassland,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/42/
98,krabby,Water,,4,65,krabby,"['hyper-cutter', 'shell-armor', 'sheer-force']",waters-edge,red,False,False,https://pokeapi.co/api/v2/evolution-chain/43/
99,kingler,Water,,13,600,kingler,"['hyper-cutter', 'shell-armor', 'sheer-force']",waters-edge,red,False,False,https://pokeapi.co/api/v2/evolution-chain/43/
100,voltorb,Electric,,5,104,voltorb,"['soundproof', 'static', 'aftermath']",urban,red,False,False,https://pokeapi.co/api/v2/evolution-chain/44/
101,electrode,Electric,,12,666,electrode,"['soundproof', 'static', 'aftermath']",urban,red,False,False,https://pokeapi.co/api/v2/evolution-chain/44/
102,exeggcute,Grass,Psychic,4,25,exeggcute,"['chlorophyll', 'harvest']",forest,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/45/
103,exeggutor,Grass,Psychic,20,1200,exeggutor,"['chlorophyll', 'harvest']",forest,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/45/
104,cubone,Ground,,4,65,cubone,"['rock-head', 'lightning-rod', 'battle-armor']",mountain,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/46/
105,marowak,Ground,,10,450,marowak,"['rock-head', 'lightning-rod', 'battle-armor']",mountain,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/46/
106,hitmonlee,Fighting,,15,498,hitmonlee,"['limber', 'reckless', 'unburden']",urban,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/47/
107,hitmonchan,Fighting,,14,502,hitmonchan,"['keen-eye', 'iron-fist', 'inner-focus']",urban,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/47/
108,lickitung,Normal,,12,655,lickitung,"['own-tempo', 'oblivious', 'cloud-nine']",grassland,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/48/
109,koffing,Poison,,6,10,koffing,"['levitate', 'neutralizing-gas', 'stench']",urban,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/49/
110,weezing,Poison,,12,95,weezing,"['levitate', 'neutralizing-gas', 'stench']",urban,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/49/
111,rhyhorn,Ground,Rock,10,1150,rhyhorn,"['lightning-rod', 'rock-head', 'reckless']",rough-terrain,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/50/
112,rhydon,Ground,Rock,19,1200,rhydon,"['lightning-rod', 'rock-head', 'reckless']",rough-terrain,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/50/
113,chansey,Normal,,11,346,chansey,"['natural-cure', 'serene-grace', 'healer']",urban,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/51/
114,tangela,Grass,,10,350,tangela,"['chlorophyll', 'leaf-guard', 'regenerator']",grassland,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/52/
115,kangaskhan,Normal,,22,800,kangaskhan,"['early-bird', 'scrappy', 'inner-focus']",grassland,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/53/
116,horsea,Water,,4,80,horsea,"['swift-swim', 'sniper', 'damp']",sea,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/54/
117,seadra,Water,,12,250,seadra,"['poison-point', 'sniper', 'damp']",sea,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/54/
118,goldeen,Water,,6,150,goldeen,"['swift-swim', 'water-veil', 'lightning-rod']",waters-edge,red,False,False,https://pokeapi.co/api/v2/evolution-chain/55/
119,seaking,Water,,13,390,seaking,"['swift-swim', 'water-veil', 'lightning-rod']",waters-edge,red,False,False,https://pokeapi.co/api/v2/evolution-chain/55/
120,staryu,Water,,8,345,staryu,"['illuminate', 'natural-cure', 'analytic']",sea,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/56/
121,starmie,Water,Psychic,11,800,starmie,"['illuminate', 'natural-cure', 'analytic']",sea,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/56/
122,mr-mime,Psychic,Fairy,13,545,mr-mime,"['soundproof', 'filter', 'technician']",urban,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/57/
123,scyther,Bug,Flying,15,560,scyther,"['swarm', 'technician', 'steadfast']",grassland,green,False,False,https://pokeapi.co/api/v2/evolution-chain/58/
124,jynx,Ice,Psychic,14,406,jynx,"['oblivious', 'forewarn', 'dry-skin']",urban,red,False,False,https://pokeapi.co/api/v2/evolution-chain/59/
125,electabuzz,Electric,,11,300,electabuzz,"['static', 'vital-spirit']",grassland,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/60/
126,magmar,Fire,,13,445,magmar,"['flame-body', 'vital-spirit']",mountain,red,False,False,https://pokeapi.co/api/v2/evolution-chain/61/
127,pinsir,Bug,,15,550,pinsir,"['hyper-cutter', 'mold-breaker', 'moxie']",forest,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/62/
128,tauros,Normal,,14,884,tauros,"['intimidate', 'anger-point', 'sheer-force']",grassland,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/63/
129,magikarp,Water,,9,100,magikarp,"['swift-swim', 'rattled']",waters-edge,red,False,False,https://pokeapi.co/api/v2/evolution-chain/64/
130,gyarados,Water,Flying,65,2350,gyarados,"['intimidate', 'moxie']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/64/
131,lapras,Water,Ice,25,2200,lapras,"['water-absorb', 'shell-armor', 'hydration']",sea,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/65/
132,ditto,Normal,,3,40,ditto,"['limber', 'imposter']",urban,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/66/
133,eevee,Normal,,3,65,eevee,"['run-away', 'adaptability', 'anticipation']",urban,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/67/
134,vaporeon,Water,,10,290,vaporeon,"['water-absorb', 'hydration']",urban,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/67/
135,jolteon,Electric,,8,245,jolteon,"['volt-absorb', 'quick-feet']",urban,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/67/
136,flareon,Fire,,9,250,flareon,"['flash-fire', 'guts']",urban,red,False,False,https://pokeapi.co/api/v2/evolution-chain/67/
137,porygon,Normal,,8,365,porygon,"['trace', 'download', 'analytic']",urban,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/68/
138,omanyte,Rock,Water,4,75,omanyte,"['swift-swim', 'shell-armor', 'weak-armor']",sea,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/69/
139,omastar,Rock,Water,10,350,omastar,"['swift-swim', 'shell-armor', 'weak-armor']",sea,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/69/
140,kabuto,Rock,Water,5,115,kabuto,"['swift-swim', 'battle-armor', 'weak-armor']",sea,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/70/
141,kabutops,Rock,Water,13,405,kabutops,"['swift-swim', 'battle-armor', 'weak-armor']",sea,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/70/
142,aerodactyl,Rock,Flying,18,590,aerodactyl,"['rock-head', 'pressure', 'unnerve']",mountain,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/71/
143,snorlax,Normal,,21,4600,snorlax,"['immunity', 'thick-fat', 'gluttony']",mountain,black,False,False,https://pokeapi.co/api/v2/evolution-chain/72/
144,articuno,Ice,Flying,17,554,articuno,"['pressure', 'snow-cloak']",rare,blue,True,False,https://pokeapi.co/api/v2/evolution-chain/73/
145,zapdos,Electric,Flying,16,526,zapdos,"['pressure', 'static']",rare,yellow,True,False,https://pokeapi.co/api/v2/evolution-chain/74/
146,moltres,Fire,Flying,20,600,moltres,"['pressure', 'flame-body']",rare,yellow,True,False,https://pokeapi.co/api/v2/evolution-chain/75/
147,dratini,Dragon,,18,33,dratini,"['shed-skin', 'marvel-scale']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/76/
148,dragonair,Dragon,,40,165,dragonair,"['shed-skin', 'marvel-scale']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/76/
149,dragonite,Dragon,Flying,22,2100,dragonite,"['inner-focus', 'multiscale']",waters-edge,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/76/
150,mewtwo,Psychic,,20,1220,mewtwo,"['pressure', 'unnerve']",rare,purple,True,False,https://pokeapi.co/api/v2/evolution-chain/77/
151,mew,Psychic,,4,40,mew,['synchronize'],rare,pink,False,True,https://pokeapi.co/api/v2/evolution-chain/78/
152,chikorita,Grass,,9,64,chikorita,"['overgrow', 'leaf-guard']",grassland,green,False,False,https://pokeapi.co/api/v2/evolution-chain/79/
153,bayleef,Grass,,12,158,bayleef,"['overgrow', 'leaf-guard']",grassland,green,False,False,https://pokeapi.co/api/v2/evolution-chain/79/
154,meganium,Grass,,18,1005,meganium,"['overgrow', 'leaf-guard']",grassland,green,False,False,https://pokeapi.co/api/v2/evolution-chain/79/
155,cyndaquil,Fire,,5,79,cyndaquil,"['blaze', 'flash-fire']",grassland,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/80/
156,quilava,Fire,,9,190,quilava,"['blaze', 'flash-fire']",grassland,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/80/
157,typhlosion,Fire,,17,795,typhlosion,"['blaze', 'flash-fire']",grassland,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/80/
158,totodile,Water,,6,95,totodile,"['torrent', 'sheer-force']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/81/
159,croconaw,Water,,11,250,croconaw,"['torrent', 'sheer-force']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/81/
160,feraligatr,Water,,23,888,feraligatr,"['torrent', 'sheer-force']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/81/
161,sentret,Normal,,8,60,sentret,"['run-away', 'keen-eye', 'frisk']",grassland,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/82/
162,furret,Normal,,18,325,furret,"['run-away', 'keen-eye', 'frisk']",grassland,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/82/
163,hoothoot,Normal,Flying,7,212,hoothoot,"['insomnia', 'keen-eye', 'tinted-lens']",forest,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/83/
164,noctowl,Normal,Flying,16,408,noctowl,"['insomnia', 'keen-eye', 'tinted-lens']",forest,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/83/
165,ledyba,Bug,Flying,10,108,ledyba,"['swarm', 'early-bird', 'rattled']",forest,red,False,False,https://pokeapi.co/api/v2/evolution-chain/84/
166,ledian,Bug,Flying,14,356,ledian,"['swarm', 'early-bird', 'iron-fist']",forest,red,False,False,https://pokeapi.co/api/v2/evolution-chain/84/
167,spinarak,Bug,Poison,5,85,spinarak,"['swarm', 'insomnia', 'sniper']",forest,green,False,False,https://pokeapi.co/api/v2/evolution-chain/85/
168,ariados,Bug,Poison,11,335,ariados,"['swarm', 'insomnia', 'sniper']",forest,red,False,False,https://pokeapi.co/api/v2/evolution-chain/85/
169,crobat,Poison,Flying,18,750,crobat,"['inner-focus', 'infiltrator']",cave,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/17/
170,chinchou,Water,Electric,5,120,chinchou,"['volt-absorb', 'illuminate', 'water-absorb']",sea,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/86/
171,lanturn,Water,Electric,12,225,lanturn,"['volt-absorb', 'illuminate', 'water-absorb']",sea,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/86/
172,pichu,Electric,,3,20,pichu,"['static', 'lightning-rod']",forest,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/10/
173,cleffa,Fairy,,3,30,cleffa,"['cute-charm', 'magic-guard', 'friend-guard']",mountain,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/14/
174,igglybuff,Normal,Fairy,3,10,igglybuff,"['cute-charm', 'competitive', 'friend-guard']",grassland,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/16/
175,togepi,Fairy,,3,15,togepi,"['hustle', 'serene-grace', 'super-luck']",forest,white,False,False,https://pokeapi.co/api/v2/evolution-chain/87/
176,togetic,Fairy,Flying,6,32,togetic,"['hustle', 'serene-grace', 'super-luck']",forest,white,False,False,https://pokeapi.co/api/v2/evolution-chain/87/
177,natu,Psychic,Flying,2,20,natu,"['synchronize', 'early-bird', 'magic-bounce']",forest,green,False,False,https://pokeapi.co/api/v2/evolution-chain/88/
178,xatu,Psychic,Flying,15,150,xatu,"['synchronize', 'early-bird', 'magic-bounce']",forest,green,False,False,https://pokeapi.co/api/v2/evolution-chain/88/
179,mareep,Electric,,6,78,mareep,"['static', 'plus']",grassland,white,False,False,https://pokeapi.co/api/v2/evolution-chain/89/
